label,Predicted,title,content
0,5,Olau Line, Olau Line was a shipping company that existed between the years 1956 and 1994. It operated a ferry service from the United Kingdom to the Netherlands from 1974 until 1994. Originally based in Denmark the company passed under ownership of the German TT-Line in 1980.
6,1,50 Biscayne, 50 Biscayne is a fifty-seven story skyscraper condo in the Central Business District of Downtown Miami Florida United States. As its name implies the tower is located at the address of 50 Biscayne Boulevard in between Flagler and Northeast 1st Streets.
9,10,Giant pangasius, The giant pangasius Paroon Shark or Chao Phraya giant catfish (Pangasius sanitwongsei) is a species of freshwater fish in the shark catfish family (family Pangasiidae) of order Siluriformes found in the Chao Phraya and Mekong basins in Indochina. These fish are benthopelagic swimmers. It has declined drastically mainly due to overfishing and it is now considered Critically Endangered.
9,10,Kalathomyrmex, Kalathomyrmex is a genus of ant in the subfamily Myrmicinae containing the single species Kalathomyrmex emeryi. First described as Myrmicocrypta emeryi by Forel in 1907 the species was most recently moved to its current genus by Klingenberg and Brandao in 2009.
12,3,Nine Lives (1957 film), Nine Lives (Norwegian: Ni Liv) is a 1957 Norwegian film about Jan Baalsrud who was a member of the Norwegian resistance during World War II. In 1943 he participated in an operation to destroy a German air control tower.
9,10,Freidbergia, Freidbergia is a genus of the family Tephritidae better known as fruit flies.
9,10,Isbrueckerichthys saxicola, Isbrueckerichthys saxicola is a species of armored catfish endemic to Brazil where it is found in the Tibagi River basin. This species grows to a length of 8.77 centimetres (3.45 in) SL.
9,10,Wichmannia, Wichmannia is a genus of hymenopteran insects of the family Eulophidae.
6,7,Bouillon Castle, Bouillon Castle (French: Château de Bouillon) is a medieval castle in the town of Bouillon in the province of Luxembourg Belgium.Although it was mentioned first in 988 there has been a castle on the same site for a much longer time. The castle is situated on a rocky spur of land within a sharp bend of the Semois River.In 1082 Bouillon Castle was inherited by Godfrey of Bouillon who sold it to Otbert Bishop of Liège in order to finance the First Crusade.
9,10,Creobroter fasciatus, Creobroter fasciatus is a species of praying mantis in the genus Creobroter in the order Mantodea.
9,10,Charicrita orthonina, Charicrita orthonina is a moth of the Yponomeutidae family. It is found in Australia including Tasmania.
9,10,Bulatmai Barbel, Bulatmai Barbel (Barbus capito capito) is the only subspecies of Barbus capito.
9,10,Eocheirurus, Eocheiurus is a trilobite in the order Phacopida that existed during the upper Cambrian in what is now Russia. It was described by Rozova in 1960 and the type species is Eocheirurus salairicus. The species epithet is derived from the name of the town Salair in which the type locality the Tolstochikhin Formation is located.
9,10,Calophasidia, Calophasidia is a genus of moths of the Noctuidae family.
2,4,Carlos Pintado, Carlos Pintado (born 1974 in Cuba) is a Cuban–American poet and writer who immigrated to the United States in the early 90s. His book Autorretrato en azul received the Sant Jordi's International Prize for Poetry in Spain and El azar y los tesoros was one of the 12 finalists for Spain's Adonais Prize in 2008. He also contributed to The exile Experience: a journey to freedom coordinated by Cuban American music producer Emilio Estefan.
10,0,Buddleja 'Summer Frost', Buddleja 'Summer Frost' is an American hybrid cultivar raised by Dr D. Werner at the J C Raulston Arboretum North Carolina State University. [1]
9,3,Noble (horse), Noble (1783 – after 1796) was a British Thoroughbred racehorse and sire. In a career that lasted from May 1786 to May 1788 he ran at least three times and won two races. He won the seventh running of the Epsom Derby as a 30/1 outsider in what was probably his first race. His only other success came at Newmarket later that year. He was retired to stud where he stood as a stallion for several years but made little impact as a sire of winners.
6,13,Bosjökloster, Bosjökloster (English: Bosjö Abbey) on the shore of Lake Ringsjön in Höör Municipality Scania southern Sweden was originally a nunnery founded in 1080 by the Benedictine Order. The oldest preserved document that mentions Bosjö Abbey was written by Pope Lucius III in 1181 when he confirmed its privileges. According to local legend the land was donated by Tord Thott the first known ancestor of the Scanian noble family Thott.
9,10,Termitotrox cupido, Termitotrox cupido is a species of scarab beetle in the subfamily Termitotroginae. It was first described by Munetoshi Maruyama in 2012 having been discovered living inside a nest of the termite Hypotermes makhamensis in Cambodia. It is a tiny blind and flightless insect.
5,13,Honda S-MX, The Honda S-MX (Japanese: ホンダ・S-MX) is a minivan produced by the Honda Motor Company sold between 1996 and 2002.
9,10,Erechthias kerri, Erechthias kerri is a moth of the Tineidae family. It is found in the Pacific region including the French Frigate Shoals Lisianski Laysan the Pearl and Hermes Reef Johnston Island and Hawaii.
9,10,Trotocalpe, Trotocalpe is a genus of moth in the family Geometridae.
12,13,Killing Us Softly, Killing Us Softly: Advertising’s Image of Women is an American feminist documentary by Jean Kilbourne distributed by Cambridge Documentaries. The documentary was first released in 1979 and has since been updated and re-released several times most recently in 2010 with added and revised footage and commentary.
12,3,Rangi's Catch, Rangi’s Catch is a 1973 British film for children set and shot in New Zealand with one (Rangi) played by a young Temuera Morrison in his first role. Originally made with eight episodes for television; edited and cut for theatical release.
2,12,Henri Virlogeux, Henri Virlogeux (1924–1995) was a French actor.
9,10,Fracara, Fracara is a genus of moths of the Noctuidae family.
2,13,Brian Lewis (illustrator), Brian Moncrieff Lewis (3 June 1929 – 4 December 1978) was a British science fiction illustrator comics artist and animator.Lewis served in the RAF and became involved in science fiction fandom in the early 1950s. His first professional illustration was for the Radio Times and he began contributing to New Worlds in 1954 painting forty covers for the magazine. He also painted 21 covers for Science Fantasy 19 for Science Fiction Adventures and a few for Digit Books between 1957 and 1962.
2,13,Harold Danko, Harold Danko (born June 13 1947 Ohio) is an American jazz pianist.Danko attended Youngstown State University. Among his credits are work in the big bands of Woody Herman and Thad Jones/Mel Lewis as well as smaller ensembles with Gerry Mulligan Chet Baker and Lee Konitz.
2,13,Nerida Newton, Nerida Newton (born 1972) is an Australian novelist whose first novel The Lambing Flat won the Emerging Author category for the Queensland Premier's Literary Awards and was shortlisted for the The Australian/Vogel Literary Award. In 2004 The Lambing Flat was shortlisted the Commonwealth Writers' Prize for the Asia/Pacific region (Best First Book) and One Book One Brisbane. Later that year Nerida was named by the Sydney Morning Herald as one of Australia's best young novelists.
8,1,Kotathattu, Kotathattu is a village in the southern state of Karnataka India. It is located in the Udupi taluk of Udupi district in Karnataka.
9,10,Barred Rail, The Barred Rail (Gallirallus torquatus) is a species of bird in the Rallidae family.It is found in Indonesia and the Philippines.
9,10,Starksia brasiliensis, Starksia brasiliensis is a species of labrisomid blenny native to the Atlantic coast of Brazil. This species can reach a length of 3.5 centimetres (1.4 in) TL.Froese Rainer and Pauly Daniel eds. (2013). Starksia brasiliensis in FishBase. October 2013 version.</ref>
6,1,Hilton Orlando Lake Buena Vista, The Hilton Orlando Lake Buena Vista is an AAA Four-Diamond hotel located adjacent to the Downtown Disney complex located on Walt Disney World Resort property in Lake Buena Vista Florida. The 23-acre (9.3 ha) hotel which opened in November 1983 is among seven hotels that make up the Downtown Disney Resort Area Hotels.
2,4,Louise Lee, Louise Lee Si-Kei (Chinese: 李司棋; born 26 September 1950 in Hong Kong with her family roots in Tianjin) is a Hong Kong actress and former Chinese Canadian newscaster.
13,12,Coup de Grâce (novel), Coup de Grâce (French: Le Coup de grâce) is a 1939 novel in French by Marguerite Yourcenar. The narrative is a triangle drama set in the Baltics during the Russian Civil War (1917-1922).It was adapted into the 1976 film Coup de Grâce directed by Volker Schlöndorff.
2,4,Eric Hobsbawm, Eric John Ernest Hobsbawm CH FBA FRSL (/ˈhɒbz.bɔːm/; 9 June 1917 – 1 October 2012) was a British Marxist historian of the rise of industrial capitalism socialism and nationalism.
8,7,Kodalgi, Kodalgi (Kannada: ) is a village in the southern state of Karnataka India. Administratively Kodalgi is under Baichabal gram panchayat Shorapur Taluka of Yadgir District in Karnataka. The village of Kodalgi is 2.3 km by road north of the village of Baichbal and 15 km by road south of the village of Kembhavi. The nearest railhead is in Yadgir.
2,3,Zinaida Gippius, Zinaida Nikolaevna Gippius (Russian: Зинаи́да Никола́евна Ги́ппиус IPA: [zʲɪnɐˈidə nʲɪkɐˈlajɪvnə ˈɡʲipʲɪus] ; November 20 1869 – September 9 1945) was a Russian poet playwright editor short story writer and religious thinker who has been credited as a co-founder of Russian symbolism and seen as one of the most enigmatic and intelligent women of her time in Russia. She was married to philosopher Dmitriy Sergeyevich Merezhkovsky.
6,1,Palace Hotel Tokyo, Palace Hotel Tokyo (パレスホテル東京) is a hotel in the Marunouchi business district of Tokyo Japan consisting of 290 guestrooms 10 restaurants and bars and other facilities. The hotel is located across from the Otemon Gate of the Imperial Palace.
6,1,Ducal Palace of Vila Viçosa, The Ducal Palace of Vila Viçosa (Portuguese: Paço Ducal de Vila Viçosa) is a palace located in the civil parish of Nossa Senhora da Conceição in the municipality of Vila Viçosa in the Portuguese Alentejo.
0,1,BellSouth Mobility DCS, BellSouth Mobility DCS LLC headquartered in Atlanta Georgia was a BellSouth subsidiary.BellSouth Mobility DCS operated 1900 MHz GSM networks in a number of states in the South clustered around South Carolina.
7,1,Grand Union Canal, The Grand Union Canal in England is part of the British canal system. Its main line starts in London and ends in Birmingham stretching for 137 miles (220 km) with 166 locks. It has arms to places including Leicester Slough Aylesbury Wendover and Northampton.The Grand Union Canal was also the original name for part of what is now part of the Leicester Line of the modern Grand Union: this latter is now generally referred to as the Old Grand Union Canal to avoid ambiguity.
2,13,Erin Dolgan, Erin Dolgan (born Denver CO) M.A. LPC is a clinical psychotherapist and also a children’s book author known for her message of “Relative Danger”. Her book Please Knock won a 2007 IPPY bronze medal from the Independent Publishing Book Association for children’s book (ages 7 and above).Dolgan grew up in Denver Colorado. In 1995 she received her Masters Degree in clinical counseling from Lesley University in Cambridge Massachusetts.
7,10,Cima de Pian Guarnei, The Cima di Pian Guarnei (also known as Pizzo Quadro) is a mountain of the Lepontine Alps on the Swiss-Italian border.
6,1,St. Lawrence's Church Vittoriosa, The Collegiate church of St Lawrence is an old Church situated in Birgu in Malta.
9,10,Hynhamia microsocia, Hynhamia microsocia is a species of moth of the Tortricidae family. It is found in Ecuador.
6,1,Penn Alto Building, The Penn Alto Building is a landmark building located in downtown Altoona Pennsylvania USA. The building is nine stories high and has a partial tenth floor penthouse. The name of the building remains the same even though its usage has changed over time. The name changed from the Penn Alto Hotel to Penn Alto Apartments when it changed from strictly being a hotel to a residential hotel which rents both apartments and hotel rooms.
9,10,Silvanus (genus), Silvanus is a genus of beetles in the family Silvanidae containing the following species: Silvanus bidentatus Fabricius Silvanus castaneus MacLeay Silvanus curvispinus Pal & Sen Gupta Silvanus difficilis Halstead Silvanus gibbus Pal & Sen Gupta Silvanus imitatus Pal & Sen Gupta Silvanus inarmatus Wollaston Silvanus lateritius Broun Silvanus lewisii Reitter Silvanus mediocris Grouvelle Silvanus muticus Sharp Silvanus nigrans Pal & Sen Gupta Silvanus nitidulus LeConte Silvanus planatus Germar Silvanus productus Halstead Silvanus proximus Grouvelle Silvanus recticollis Reitter Silvanus robustus Halstead Silvanus rossi Halstead Silvanus ruficorpus Pal & Sen Gupta Silvanus semus Halstead Silvanus unidentatus Olivier↑
9,10,Tamaulipas Shiner, Tamaulipas Shiner (Notropis braytoni) is a species of ray-finned fish in the genus Notropis.
2,0,Franca Batich, Franca Batich (b. January 19 1940 Trieste Italy) is an Italian contemporary artist who specializes in oil and mixed technique abstract painting. A student of Giovanni Giordani Frida de Reya and Alice Psaconopulo Batich first began exhibiting her artwork in the 1960s. She has contributed to several collective shows in Italy as well as internationally in New York Salzburg Udine and Dalmatia.
2,3,Razumnik Ivanov-Razumnik, Razumnik Vasilyevich Ivanov-Razumnik (real surname - Ivanov; Разумник Васильевич Иванов-Разумник; December 24 1878 Tiflis Georgia then Russian Empire - July 9 1946 Munich Germany was a Russian Soviet author philosopher and literary critic best known for his book The History of Russian Social Thought (1907 in two volumes) and the series of essays on post-Revolution literary life in the Soviet Russia.
13,11,Doctor Who Live, Doctor Who Live: The Monsters Are Coming! is an arena stage show based on the BBC TV programme Doctor Who.
2,3,Aaron Watson, Aaron Watson is a Texas country music singer.Watson was born in Amarillo Texas and attended Abilene Christian University where he began learning guitar after playing junior college baseball in New Mexico. He gigged around Texas before releasing his debut album A Texas Cafe; the follow-up Shuttupanddance was a regional sales success. His 2004 album The Honky Tonk Kid was produced by Ray Benson and features an appearance from Willie Nelson.
9,10,Anopinella larana, Anopinella larana is a species of moth of the Tortricidae family. It is found in Venezuela.The length of the forewings is 7-7.8 mm.
6,1,Covent Garden Hotel, Covent Garden Hotel is a 5-star hotel in London England. It is located near Seven Dials in the West End a short walk away from the Royal Opera House and is surrounded by some 21 theatres. The hotel is part of Tim and Kit Kemp's Firmdale Hotels.
2,3,Ovie Alston, Overton Ovie Alston (December 14 1905 – 1989) was an American jazz trumpeter vocalist and bandleader.Alston played with Bill Brown and His Brownies in New York in 1928 recording with them for Brunswick Records. He was hired by Claude Hopkins in 1931 and remained with him until 1936; it is for this association that he is best known.
9,10,Protambulyx, Protambulyx is a genus of moths in the Sphingidae family.
0,1,A-Mobile, A-Mobile is the second mobile phone operator of Abkhazia behind Aquafon both in number of subscriptions and in age.
12,13,Joy Division (2006 film), Joy Division is a 2006 British film directed by Reg Traviss. The story is a fictional biopic which follows the life of a boy in Germany at the end of World War II into his adulthood in Russia and London during the Cold War. The script was written by Reg Traviss and Rosemary Mason and went into production in 2004 after completion of Traviss' short film JD Pilot in 2003 based upon the same script and which also starred Ed Stoppard in the role of adult Thomas.
11,13,Asrael (album), Asrael is a collection of Austin TV B-sides that came out in the fall of 2004. It was a limited to a 600 copies.
9,10,Anopina ainslieana, Anopina ainslieana is a moth of the Tortricidae family. It is found in the southern United States (New Mexico Colorado).The length of the forewings is 5.5–7 mm. The ground colour of the forewings is brownish ochreous suffused with dark brown and orange-yellow or with a similar more or less distinct striation. The hindwings are fuscous dark sprinkled.
12,13,The Flight that Disappeared, The Flight that Disappeared is a 1961 science fiction film.
5,13,Ducati ST series, The Ducati ST series are Italian sport touring motorcycles that were made by Ducati between 1997 and 2007. The models included (in order of release) the ST2 ST4/ST4s and ST3/ST3s.
9,10,Bucculatrix hagnopis, Bucculatrix hagnopis is a moth in the Bucculatricidae family. It is found in India.
2,13,Bairu Raghuram, Bairu Raghuram (born 1949) is an Indian painter. His depictions are simple rural life and woman in their daily life. He is mostly inspired by the tranquillity of rural Telangana.
2,11,Angel (British musician), Sirach Charles (born 31 October 1987) better known by his stage name Angel is a singer/songwriter rapper and record producer from West London England. His debut single Go In Go Hard featuring vocals from English rapper Wretch 32 was released on 18 March 2012. The song reached number 41 on the UK Singles Chart. The following single Wonderful performed better commercially peaking at number nine on the UK Singles chart and topping the UK R&B Chart.
9,10,Tricula hortensis, Tricula hortensis is a species of freshwater snail with a gill and an operculum an aquatic gastropod mollusk in the family Pomatiopsidae.
2,3,Auguste Le Breton, Auguste Le Breton (February 18 1913 – May 31 1999) was a French novelist who wrote primarily about the criminal underworld. His novels were adapted into several notable films of the 1950s such as Rififi Razzia sur la chnouf and Le clan des siciliens. He wrote the dialogue for the noir film Bob le flambeur.Auguste Le Breton was born in Finistère. His childhood name was Auguste Monfort. Tragedy struck early in his life. Before he turned up his father had died in the First World War.
12,3,African Hunting Holiday, African Hunting Holiday is a British documentary by Louis Theroux. Louis journeys to Limpopo Province in South Africa to join the holidaymakers who flock there to hunt big game.
2,3,Mukul Dey, Mukul Chandra Dey (Bengali: মুকুলচন্দ্র দে) (1895–1989) was a student of Rabindranath Tagore's Santiniketan. He is considered as a pioneer of drypoint-etching in India.He was the first Indian artist to travel abroad for the purpose of studying printmaking as an art. While in Japan in 1916 Mukul Dey studied under Yokoyama Taikan and Kanzan Shimomura at Tokyo and Yokohama.
6,1,Majestic Centre, The Majestic Centre designed by Jack Manning of Manning Mitchell in association with Kendon McGrail of Jasmax Architects and completed in 1991 is the tallest building in Wellington New Zealand. The building located on 100 Willis Street is 116 metres high and has 29 storeys making it the ninth tallest skyscraper building in New Zealand along with the ASB Bank Centre in Auckland.
2,3,Kawabata Ryushi, Kawabata Ryūshi (川端 龍子 June 6 1885 - April 10 1966) was the pseudonym of a Japanese painter in the Nihonga style active during the Taishō and Shōwa eras. His real name was Kawabata Shotarō. Ryūshi was born in Wakayama city in Wakayama prefecture. He moved to Tokyo in 1895. Initially interested in literature he studied under the poet Kawabata Hoja who introduced him to the Hototogisu artistic circle.
6,7,Empilisweni District Hospital, Empilisweni District Hospital is a Provincial government funded hospital for the Senqu Local Municipality area in Sterkspruit Eastern Cape in South Africa. Empilisweni is a level 1 hospital situated near the Lesotho and Free State borders with 93 usable beds.
2,13,Geoffrey Freshwater, Geoffrey Freshwater is an English actor. His television appearances include The Government Inspector and the recurring character of Sgt Eric Rivers in 5 episodes of Foyle's War.
2,3,Crazy Legs (dancer), Richard Colón (born January 1 1966) better known by his stage name Crazy Legs is a b-boy from the Bronx New York City USA. He featured in the earliest stories on hip hop dancing to appear in mainstream press and as president of the Rock Steady Crew brought the form to London and Paris in 1983. Today he is also involved in community outreach dance instruction and dance theater productions. His pioneering status is reflected in his appearances in fiction films and documentaries old and new.
6,4,Canadian Museum of Contemporary Photography, The Canadian Museum of Contemporary Photography (CMCP) (French: Le Musée canadien de la photographie contemporaine (MCPC)) was a gallery of Canada's best art and documentary photography.
4,3,Nathan Cutler, Nathan Cutler (May 29 1775 Western Massachusetts – June 8 1861) was an American politician from Maine. He was a Democrat.Cutler graduated from Dartmouth College in 1798 and was preceptor at Middlebury Academy for one year thereafter. He then studied law with Judge Chipman of Vermont and later in Worcester Massachusetts where he was admitted to the bar in 1801. For a time he practised in his native town before moving to Farmington Maine in 1803 where he lived for the rest of his life.
9,10,Platyptilia postbarbata, Platyptilia postbarbata is a moth of the Pterophoridae family. It is known from the Democratic Republic of Congo.
2,3,Nina Badrić, Nina Badrić (pronounced [nîna bâdrit͡ɕ] ; born 4 July 1972) is a Croatian pop singer. Before starting her career in the entertainment industry she used to be a bank teller. She began performing in early 1990s exploiting the sudden popularity of dance music but her repertoire gradually became more mainstream. She's also very popular in Serbia Bosnia and Herzegovina Montenegro Slovenia and Turkey. She competed in Dora - Croatian selection for Eurovision Song Contest 4 times.
2,13,Diego de Torres Vargas, Father Diego de Torres Vargas (1590–1649) a priest was the first person to write a book about the history of Puerto Rico.
11,13,This Gigantic Robot Kills, This Gigantic Robot Kills is the sixth album by nerdcore musician MC Lars.Lars has stated that he worked with Weird Al Yankovic the Rondo Brothers Nick Rowe and Mike Kennedy of Bloodsimple James Bourne of Busted Daniel Dart of Time Again Donal Finn of Flash Bastard Pierre Bouvier of Simple Plan MC Bat Commander of The Aquabats Suburban Legends Worm Quartet Gabriel Saporta of Cobra Starship Brett Anderson of The Donnas MC Frontalot Amie Miriello of Dirtie Blonde Jesse Dangerously Linus Dotson of Size 14 Parry Gripp of Nerf Herder Jonathan Coulton Aesias Finale Sebastian Reynolds Brendan B. 
2,3,Kate Ryan, Kate Ryan (born Katrien Verbeeck on 22 July 1980) is a Belgian World Music Award winner. She began her singing career in 2001 and later found fame with a string of dance hits. These included covers mostly of Mylène Farmer and France Gall such as Désenchantée Libertine and Ella elle l'a as well as new material. Ryan represented Belgium in the Eurovision Song Contest 2006 with Je t'adore coming in 12th place in the semi-final.
9,10,Pygmy shark, The pygmy shark Euprotomicrus bispinatus the second-smallest of all the shark species after the dwarf lanternshark is a sleeper shark of the Dalatiidae family the only member of the genus Euprotomicrus. Their length is up to about 25 cm (10 in) for females and about 22 cm (8.7 in) for males.Pygmy sharks are ovoviviparous and produce about 8 young in each litter.
