label,title,content
5,Fairchild Dornier 428JET, The Fairchild Dornier 428JET was a program undertaken by Fairchild Dornier to develop a 44 seat regional jet aircraft. The program was part of a broader attempt by the company to develop a family of regional jets comprising the 328JET 428JET and the 728 series. This family of aircraft was designed to compete with the Bombardier CRJ and Embraer ERJ/Embraer E-Jets families. The aircraft was announced on May 19 1998. It was cancelled in 2000.
5,SS Tjisalak, SS Tjisalak was a 5787-ton Dutch freighter with passenger accommodation built in 1917 for the Java-China-Japan Lijn and used by the Allies during World War II to transport supplies across the Indian Ocean between Australia and Ceylon. On 26 March 1944 she was torpedoed and sunk by the Japanese submarine I-8 while traveling unescorted. The freighter's crew were subsequently massacred in an infamous naval war crime.
2,Sandhya Sanjana, Sandhya Sanjana (Hindi: संध्या) is a singer born in Mumbai India. She is one of the first Indian singers to have experimented with fusing Indian classical vocals with various other western contemporary styles. Her career began at a young age and she has appeared on over 30 albums covering various genres. She is a performing artist who combines her experience as a jazz/funk/rock vocalist with an understanding of Indian music – classical and contemporary – to bridge cultures.
5,HMS Scythian (P237), HMS Scythian was an S class submarine of the Royal Navy and part of the Third Group built of that class. She was built by Scotts of Greenock and launched on April 14 1944. So far she has been the only ship of the Royal Navy to bear the name Scythian.Built as the Second World War was drawing to a close she did not see much action spending the period between March and May 1945 on the eastern station.
0,Iran Aviation Industries Organization, The Iran Aviation Industries Organization (IAIO) (Persian: سازمان صنایع هوایی ایران‎) was established in 1966 for the purpose of planning controlling and managing the military aviation industry of Iran.Currently the IAIO is responsible for directing five aviation organizations: SAHA HESA PANHA GHODS Shahid Basir Industry.
10,Bulbophyllum heliophilum, Bulbophyllum heliophilum is a species of orchid in the genus Bulbophyllum.
5,Bell V-280 Valor, The Bell V-280 Valor is a third-generation tilt-rotor concept being developed by Bell Helicopter and Lockheed Martin for the United States Army's Future Vertical Lift (FVL) program. The aircraft was officially unveiled at the 2013 Army Aviation Association of America's (AAAA) Annual Professional Forum and Exposition in Fort Worth Texas with a projected first flight in 2017.
5,Liverpool Packet, Liverpool Packet was a privateer schooner from Liverpool Nova Scotia which captured 50 American vessels in the War of 1812. During the war the privateer schooner was briefly captured by American privateers but was soon recaptured by the British and returned to raiding American commerce. The Liverpool Packet was the most successful privateer vessel ever to sail out of a Canadian port.
1,Theme Music Institute, Theme Music Institute is a chain of music schools in India established in 1997. It provides courses in western classical and contemporary western music in Piano Guitar Violin Woodwind instruments and Vocals. The institute also provides introductory music courses for children aged three to five years.
0,Airside (company), Airside was founded in 1998 by Alex Maclean Nat Hunter and Fred Deakin. The company has won many awards including recognition from D&AD BAFTA and Design Week.Co-founder Deakin is one half of ambient/electronica music duo Lemon Jelly. All promotional material for Lemon Jelly to date including posters album covers and videos has been produced by Airside.
12,The Zombie Farm, The Zombie Farm is a 2011 American zombie film written and directed by Ricardo Islas. It stars Adriana Cataño Nadia Rowinsky Khotan Monika Munoz and Monika Munoz. It is about a battered wife con man and documentary filmmaker who team up against a voodoo priestess.
13,Shadow of the Giant, Shadow of the Giant (2005) is the fourth novel in Orson Scott Card's Ender's Shadow series.
5,Sukhoi T-3, The Sukhoi T-3 was a prototype Soviet fighter aircraft.
10,Eugenia gatopensis, Eugenia gatopensis is a species of plant in the Myrtaceae family. It is endemic to New Caledonia.
9,Dectes, Dectes is a genus of longhorn beetles of the subfamily Lamiinae. It was described by LeConte in 1852.
12,Sex: The Annabel Chong Story, Sex: The Annabel Chong Story is a 1999 documentary film directed filmed and produced by Vancouver B.C. Canada based producer's Gough LewisKelly Morris and Peter Carr and edited by co-creator Kelly Morris. The film profiles porn star Annabel Chong (born Grace Quek) a gender studies student at the University of Southern California who was also an adult actress famous for setting a world record by having sex 251 times with 69 men in ten hours in January 1995.
8,Delta Ontario, Delta Ontario is a community in the Township of Rideau Lakes Leeds and Grenville County in Eastern Ontario. The village is located between two lakes Upper Beverley and Lower Beverley along highway 42 approximately 15 kilometers west of Athens Ontario and 28 kilometers east of Westport Ontario.
8,Mokre Masovian Voivodeship, Mokre [ˈmɔkrɛ] is a village in the administrative district of Gmina Radzymin within Wołomin County Masovian Voivodeship in east-central Poland. It lies approximately 4 kilometres (2 mi) north of Radzymin 11 km (7 mi) north of Wołomin and 29 km (18 mi) north-east of Warsaw.The village has a population of 330.
0,British NorthWest Airlines, British NorthWest Airlines was an airline based at Blackpool International Airport.British North West Airlines Limited (traded as British NorthWest Airlines) was incorporated in October 2001 the airline had a Civil Aviation Authority Type B Operating licence (they were permitted to carry passengers cargo and mail on aircraft with fewer than 20 seats and/or weighing less than 10 tonnes). In December 2006 according to the airlines website the airline had ceased trading on scheduled services.
10,Corymbia ficifolia, Corymbia ficifolia or the red flowering gum also known as Albany red flowering gum (previously known as Eucalyptus ficifolia) is one of the most commonly planted ornamental trees in the broader eucalyptus family.In 2009 Parra-O and colleagues published a combined analysis of nuclear rDNA (ETS + ITS) and morphological characters published to clarify relationships within the genus Corymbia. C. ficifolia was shown to comprise a natural group with two other Western Australian species C.
3,Blisse Joyce, Blisse Joyce (born March 6 1983 in Lunenburg Nova Scotia as Blisse Comstock) is a Canadian curler from Halifax. She is a former Canadian Junior curling champion. She currently plays second for Heather Smith.In 2003Joyce played second for Robyn Mattie's Boylston Nova Scotia junior rink. They won their provincial junior championship giving them the right to represent Nova Scotia at the 2003 Canadian Junior Curling Championships in Ottawa (where Mattie now lives).
5,DeKi 600, The DeKi 600 (デキ600形 deki 600 gata) is an electric locomotive type operated by Nagoya Railroad (Meitetsu) in Japan. The four locomotives were built by Toshiba in 1943.
10,Holochlamys, Holochlamys is a monotypic genus of flowering plants in the Araceae family. Holochlamys beccarii is the only species in the genus Holochlamys. It is endemic to New Guinea and is found growing in mud near lowland streams or rocky streambeds at high elevations. The species is primarily rheophytic and closely related to the genus Spathiphyllum. Holochlamys closely resemble Spathiphyllum except that in Holochamys the spathe clasps the spadix.
7,Motschenbach, Motschenbach is a river in Bavaria Germany.
13,Iranshenasi, Iran Shenasi also spelled as Iranshinasi (Persian: ایران شناسی‎) is an academic journal of Iranian studies. The founding editor-in-chief is Jalal Matini. The journal is published in Persian (with English abstracts) and covers Iranian history Persian culture and Persian literature.
4,S. P. Adithanar, Si. Balasubramania Adithan (also known as Si. Ba. Adithan) (27 September 1905 – 24 May 1981) popularly called as Adithanar was a Tamil lawyer politician minister and founder of the Tamil daily newspaper Dina Thanthi. He was the founder of the We Tamils (Tamil: நாம் தமிழர்) party and served as the member of the Madras Legislative Council for two terms and as the member of the Tamil Nadu Legislative Assembly for four terms.
0,Wilmar International, Wilmar International Limited founded in 1991 is Asia’s leading agribusiness group. It ranks amongst the largest listed companies by market capitalisation on the Singapore Exchange being the second largest as of the September of 2010. It is a Singaporean investment holding company that provides management services to its 400+ subsidiary companies.
2,Uli Waas, Uli Waas (born 1949 Donauwörth) is a German writer and illustrator. She has illustrated several school and children's books.
3,Femke Boelen, Femke Boelen (born 5 May 1968) is a retired Dutch rower. In 1994 she won a world title in the coxless fours and finished in fourth place in the coxed eights. Next year she won a bronze medal in the coxed eights; she finished in sixth place in this event at the 1996 Summer Olympics.Boelen retired from competitions in 1997 and worked as a coach at her rowing club Willem III in Amsterdam. Her father Herman is also an Olympic rower and rowing coach.
11,Mechanics of Dysfunction, Mechanics of Dysfunction is the first full-length album by Canadian death metal band Beneath the Massacre. It was released on February 20 2007 through Prosthetic Records.
7,Șandru River (Olt), The Șandru River is a tributary of the Olt River in Romania.
6,Lorado Taft Midway Studios, The Lorado Taft Midway Studios consist of a converted and relocated barn that became the art studio of Lorado Taft one of the early 20th century's most important sculptors. It sits in the Woodlawn community area of Chicago Illinois and is owned by the University of Chicago.In 1906 Taft moved his main studio from the Chicago Loop to a brick barn near the Midway Plaisance. Later he connected a pair of frame barns to the main building to serve as male and female dormitories.
4,Joseph Obgeb Jimmy, Joseph Obgeb Jimmy (1951 – 2 February 2004) was a Namibian diplomat. Jimmy was born in Windhoek's Old Location in 1951 and witnessed the forced removal of residents in December 1959 to the new suburb of Katutura. Jimmy attended St. Peters Primary School in Lüderitz and completed his primary education at the Damara-Nama High School in Windhoek. He graduated from the Augustineum High School in Windhoek. He then went into exile to join the armed liberation struggle.
13,Journal of World-Systems Research, The Journal of World-Systems Research is a biannual open access peer-reviewed academic journal in the field of world-systems analysis that was established in 1995 by founding editor Christopher Chase-Dunn. It is published by the Political Economy of the World-System Section of the American Sociological Association and supported by the University of Pittsburgh.
10,Malus floribunda, Malus floribunda common name Japanese flowering crabapple purple chokeberry or showy crabapple originates from Japan and East Asia. It may be a wild species or a hybrid of M. sieboldii x M. baccata.[citation needed]It forms a round-headed small deciduous tree with narrow leaves on arching branches. The flowers are white or pale pink opening from crimson buds. The fruit is red and yellow of about 1cm in diameter.It has gained the Royal Horticultural Society's Award of Garden Merit.
8,Khanom Kan, Khanom Kan (Persian: خانم كن‎ also Romanized as Khānom Kon; also known as Khānam-i-Kūn Khanom Goon Khānom Gūn and Khānom Kohneh) is a village in Khav and Mirabad Rural District Khav and Mirabad District Marivan County Kurdistan Province Iran. At the 2006 census its population was 191 in 42 families.
7,Feniș River, The Feniș River is a tributary of the Crişul Alb River in Romania.
1,St Paul's Catholic College (Burgess Hill), St Paul's Catholic College is a comprehensive Catholic secondary school in the town of Burgess Hill in West Sussex England.
10,Callirhoe scabriuscula, Callirhoe scabriuscula is a rare species of flowering plant in the mallow family known by the common name Texas poppy mallow. It is endemic to Texas where it is known from about ten populations in the deep sands alongside the Colorado River. Much of its habitat has been lost which is the reason it was federally listed as an endangered species in 1981.This is a perennial herb with an erect stem that may exceed one meter in height.
12,This Angry Age, This Angry Age (also known as The Sea Wall Barrage contre le Pacifique and La diga sul Pacifico) is a 1958 drama film directed by René Clément and produced by Dino De Laurentiis. It is an adaptation of Marguerite Duras' 1950 novel The Sea Wall. The film stars Anthony Perkins and Silvana Mangano. The original novel was adapted again in 2008 by Rithy Panh as The Sea Wall starring Isabelle Huppert.
13,The Trail of Bohu, The Trail of Bohu also known as Imaro III: The Trail of Bohu is a sword and sorcery novel written by Charles R. Saunders and published by Daw Books in 1985. The Trail of Bohu was the third and final book in the original Imaro Trilogy.A revised version of the novel was published independently in 2009 through Sword & Soul Media and the online press Lulu.
8,Cham-e Shahran, Cham-e Shahran (Persian: چم شهران‎ also Romanized as Cham-e Shahrān; also known as Shahīd Chamrān) is a village in Mamulan Rural District Mamulan District Pol-e Dokhtar County Lorestan Province Iran. At the 2006 census its population was 154 in 34 families.
6,Dalton Park, Dalton Park is a shopping centre in Murton County Durham. It is built on the site of the former colliery's slag heaps. It is the largest factory outlet style shopping centre in the North East where branded goods are sold at discounted prices usually discontinued lines of stock previous seasons ranges or items specifically made for the outlet market place. The prices are typically up to 50% off high street prices or RRP.
12,Hostel: Part III, Hostel: Part III is a 2011 American horror film directed by Scott Spiegel and the third installment of the Hostel film series. It was written by Michael D. Weiss. It was released direct-to-DVD on December 27 2011.
5,USS Bowditch (AG-30), USS Bowditch (AG 30) was first launched in 1929 by Burmeister and Wain in Copenhagen Denmark as the passenger ship Santa Inez. She was later purchased by the United States Navy on 4 March 1940 and temporarily commissioned on 12 March 1940. She was outfitted as a surveying vessel by the Norfolk Navy Yard and commissioned again on 1 July 1940 with Commander E. E.
6,Richmond County Courthouse (Staten Island), The Richmond County Courthouse is a 1919 municipal courthouse in the civic center of St. George in the borough of Staten Island in New York City (Richmond County is coextensive with Staten Island). The neoclassical style courthouse is on Richmond Terrace next to Staten Island's Borough Hall and across the street from the Staten Island Ferry terminal.
3,José Maria Cañizares, José Maria Cañizares (born 18 February 1947) is a Spanish golfer.Cañizares was born in Madrid. He turned professional in 1967 and made the top hundred on the European Tour Order of Merit every year from its first season in 1972 through to 1993. He placed in the top ten five times with a best ranking of fourth in 1983.
0,Jetstream Express, Jetstream Express is a former British airline based at Blackpool International Airport.Jetstream Express was operated by Jetstream Executive Travel Limited. The airline began flights in May 2007 with several flights per week from Blackpool International Airport to Belfast City airport Southampton Airport and Aberdeen Airport aimed at both business and leisure travellers.Flights to Belfast started on 8 May 2007 with ten flights each week.
2,Michael Wolff (journalist), Michael Wolff (born August 27 1953) is an American author essayist and journalist. He currently writes a regular column for Vanity Fair magazine. His most recent book The Man Who Owns the News (2008) is a biography of Rupert Murdoch based on more than 50 hours of interviews with the media mogul.
5,RFA Appleleaf (A83), RFA Appleleaf (A83) was a Leaf-class tanker tanker of the Royal Fleet Auxiliary in service between 1959 and 1970.
0,Maloof Productions, Maloof Productions is an American entertainment development and production company formed by the Maloof family (composed of brothers George J. Maloof Jr. Phil Maloof Gavin Maloof and Joe Maloof and sister Adrienne Maloof-Nassif) in 2004.
10,Neoregelia 'Work', 'Work' is a hybrid cultivar of the genus Neoregelia in the Bromeliad family.
3,Tommy McCarthy (ice hockey), Thomas Edward McCarthy (April 12 1893 – December 28 1959) was a professional ice hockey player who played two seasons in the National Hockey League for the Quebec Bulldogs and Hamilton Tigers.
4,Charles Gordon-Lennox 5th Duke of Richmond, Charles Gordon-Lennox 5th Duke of Richmond and 5th Duke of Lennox 5th Duke of Aubigny KG PC (3 August 1791 – 21 October 1860) styled Earl of March until in 1819 was a British soldier politician and a prominent Conservative.
12,The Thief of Venice, The Thief of Venice or Il Ladro di Venezia is a 1950 Italian film directed by John Brahm. The US title was The Thief of Venice.It was released in the US two years after being made.
4,Susan O'Keeffe, Susan O'Keeffe (born 18 September 1960) is an Irish Labour Party politician and journalist.
1,Avondale College, Avondale College of Higher Education is an Australian tertiary education provider affiliated with the Seventh-day Adventist Church. Avondale College has two campuses the Lake Macquarie campus being the primary campus situated in Cooranbong New South Wales.
12,Si Agimat at si Enteng Kabisote, Si Agimat at Si Enteng Kabisote is an action comedy fantasy crossover film directed by Tony Reyes which stars Vic Sotto and Sen. Bong Revilla Jr. This was the union of their famous characters (Agimat and Enteng Kabisote) in one blockbuster movie which grossed a P31M on its opening day. It is followed by the sequel Si Agimat si Enteng Kabisote at si Ako.
8,Razgeh West Azerbaijan, Razgeh (Persian: رزگه‎; also known as Razangeh) is a village in Margavar Rural District Silvaneh District Urmia County West Azerbaijan Province Iran. At the 2006 census its population was 512 in 92 families.
0,HopeLab, HopeLab is a 501(c)(3) private operating foundation based in Redwood City CA. HopeLab researches and develops technology-based products to improve human health and well-being. The foundation now focuses on resilience research as part of a strategy to design products that support the psychological and biological health of individuals and communities.
6,Vahramashen Church, The Vahramashen Church (Armenian:Վահրամաշէն եկեղեցի) also commonly referred to as Surb Astvatsatsin or the Church of Amberd) was built for Prince Vahram Pahlavuni of the Pahlavuni family. An inscription on the inside lintel of the north portal to the church dates its completion to the year 1026. It sits along the slopes of Mount Aragats in the Aragatsotn province of Armenia between the fortress of Amberd and near a wall along the promontory with the Arkashian River in the canyon below.
0,Fletcher Challenge, Fletcher Challenge is a now defunct multinational corporation from New Zealand formed in 1981 by the merger of Fletcher Holdings Challenge Corporation and Tasman Pulp and Paper. It was formerly the largest company in New Zealand with holdings in construction forestry building and energy initially within New Zealand and then internationally.
8,Tymieniec-Dwór, Tymieniec-Dwór [tɨˈmjɛɲɛt͡s ˈdvur] is a village in the administrative district of Gmina Szczytniki within Kalisz County Greater Poland Voivodeship in west-central Poland.
2,José Augusto, José Augusto (born José Augusto Cougil on August 16 1953 in Rio de Janeiro) is a Brazilian singer. He sings love balladas and romantic music in general both in Portuguese and Spanish languages. His song Mi Historia Entre Tus Dedos (My History Between Your Fingers)	peaked at #33 and #17 in the Billboard's Hot Latin Tracks and Latin Pop Airplay respectively.
2,Dave Weiner, Dave Weiner (full name David Jason Weiner born on September 24 1976) is an American guitarist most widely known for being one of Steve Vai's touring guitarists. He also posts instructional videos called the Riff of the Week every Wednesday on YouTube iTunes and his own website. He also gives online lessons.
5,HMS Swift (1907), HMS Swift was a unique destroyer leader designed and built for the Royal Navy prior to World War I another product of Admiral Jackie Fisher's relentless quest for speed. The class was to be a of large ocean-going destroyer capable of both the usual destroyer requirements and of the high-speed scouting duties for a major fleet.Fisher put his specification to the Director of Naval Construction in October 1904 (320 feet 900 tons 36 knots). The DNC replied that it was not strong enough.
1,Northeast Metro Tech, Northeast Metropolitan Regional Vocational High School also known as Northeast Metro Tech or The Voke is a regional vocational school located in Wakefield Massachusetts.
7,Valea Vadului River (Black Sea), The Valea Vadului River is a river in Romania tributary of the Black Sea.
11,Bulles (album), Bulles is an album by French singer-songwriter Michel Polnareff released in 1981.With this album the singer found more success as it sold 800000 copies. Radio Je t'aime and Tam-Tam were put into heavy rotation on French radio stations. Although mostly rock-oriented Polnareff maintains his personality lyrically and musically.In 2001 the album was re-issued by Universal-Polygram.
0,Zotefoams, Zotefoams Plc manufactures a range of closed cell cross-linked polyolefin foams for global use in sports construction marine automation medical equipment and aerospace. The headquarters are based in Croydon London with a USA subsidiary in Kentucky. Nigel Howard is the current Chairman. David Stirling Managing Director. Clifford Hurst Finance Director.The company was spun-off from BP Chemicals in 1992.
13,Unto a Good Land, Unto a Good Land (Swedish: Invandrarna) is a novel by Vilhelm Moberg from 1952. It is the second part of the The Emigrants series.
1,Philadelphia Military Academy at Leeds, Philadelphia Military Academy at Leeds (PMA) is a military school in the Cedarbrook neighborhood of North Philadelphia Pennsylvania. The school opened for the 2005-2006 school year with an enrollment of 157 ninth grade cadets. The academy is housed in the Leeds middle school.
6,St Michael and All Angels' Church Howe Bridge, St Michael and All Angels' Church Howe Bridge is located in Leigh Road Howe Bridge a suburb of Atherton Greater Manchester England. It is an active Anglican parish church in the deanery of Leigh the archdeaconry of Salford and the diocese of Manchester. Its benefice is united with those of three local churches St John the Baptist St George and St Philip forming a team ministry entitled the United Benefice of Atherton and Hindsford with Howe Bridge.
0,Zhongmei, Jiangxi Zhongmei Engineering Construction is a Chinese construction and engineering firm in the construction fields of roads housing public works urban rail mines and hydropower as well as the installation of mechanical and electrical equipment and geological exploration. In overseas projects it is active in Kenya Ethiopia Ghana Liberia Togo and Zambia.
3,Oksana Esipchuk, Oksana Aleksandrovna Esipchuk (Russian: Оксана Александровна Есипчук; born 13 December 1976 in Bryansk) is a female discus thrower from Russia. Her personal best throw is 63.68 metres achieved in June 2000 in Tula.She finished ninth at the 2001 Summer Universiade. In addition she competed at the Olympic Games in 2000 and 2004 as well as the 2005 World Championships without qualifying for the final round.
2,Johann Gottfried Piefke, Johann Gottfried Piefke (9 September 1817 – 25 January 1884) was a German conductor Kapellmeister and composer of military music.Piefke was born in Schwerin an der Warthe in the Grand Duchy of Posen. In the 1850s he was Bandmaster for the 8th Infantry Regiment in Berlin. His famous marches include Preußens Gloria (Prussia's Glory) Düppeler Schanzen-Marsch and the Königgrätzer Marsch (composed after the Battle of Königgratz 1866 the decisive battle of the Austro-Prussian War).
8,Nurme Leisi Parish, Nurme Leisi Parish is a village in Leisi Parish Saare County in western Estonia.
12,Tom and Jerry: Robin Hood and His Merry Mouse, Tom and Jerry: Robin Hood and His Merry Mouse is a 2012 animated direct-to-video film featuring the animated characters Tom and Jerry and produced by Warner Bros. Animation.
5,De Havilland DH.37, The de Havilland DH.37 was a British three-seat sporting biplane of the 1920s designed and built by de Havilland for Alan Butler. The first of the two examples built flew extensively for five years before being converted to a single-seater and having its engine upgraded to a 300 hp (224 kW) A.D.C. Nimbus . It crashed in June 1927. The second aircraft was sold to Australia and was flown by the Controller of Civil Aviation.
8,Chamarru, Chamarru is a village on the bank of Krishna River which borders the Guntur district. The section of river near the village has Krishna district villages on the other side. Chamarru has seen a decrease in population since 1990 with some families building houses nearer to the Atchampet an area known as New Chamarru. The village has a temple for Lord Ganesh as well as a primary school. There are few famous people from Chamarru including Sri. Aggaraju Bhramaraiah Garu and Sri.
0,Panzerfaust Records, Panzerfaust Records was a Minnesota-based white power record label founded in September 1998 by Anthony Pierpont Ed Wolbank and Eric Davidson (who had previously worked at Resistance Records). Named after a German anti-tank rocket the record label distributed the music of several white power bands and organized concerts across the United States.
6,Church of the Transfiguration (San Jose California), The Church of the Transfiguration is a Roman Catholic parish community located in San Jose California. The parish serves 750 families in the Diocese of San Jose. The church was founded in 1965 as a parish of the Archdiocese of San Francisco and is named for the Transfiguration of Jesus.
5,USS Condor (AMc-14), USS Condor (AMc-14) was a coastal minesweeper of the United States Navy. The ship was constructed as the wooden-hulled purse seiner New Example at Tacoma Washington in 1937. Acquired by the U.S. Navy on 28 October 1940 converted into a coastal minesweeper and placed in service on 18 April 1941.
5,Canadian National class K-3 4-6-2, Canadian National Railway (CN) Class K-3 steam locomotives were of 4-6-2 wheel arrangement in the Whyte notation or  2'C1'  in UIC classification. These locomotives were built for the Grand Trunk Railway (GT) from 1910 through 1913. The class remained in passenger service until the final replacement of steam with diesel locomotives. Number 5588 was preserved in Windsor Ontario.
1,Highcliff Elementary School, Highcliff Elementary School is a suburban elementary school located in the suburbs of Pittsburgh. The school's mascot is the Indians and its official colors are red and white.The original Highcliff Elementary was built in 1956. Highcliff Elementary students and staff were temporarily relocated at the vacant Northway Elementary School facility on Brown’s Lane in Ross Township during the 2009-2010 renovation and expansion project.
9,Grammodes geometrica, Grammodes geometrica is a moth formerly of the Noctuidae family. The Noctuidae family of moths are mostly classified in the family Erebidae now along with all of the former members of the families Arctiidae and Lymantriidae. This re-classification has not yet met with general consensus and many resources and publications still follow the older classification scheme (e.g.). It is found from the Mediterranean east to Oriental and Australasian tropics.
10,Calothamnus pinifolius, Calothamnus pinifolius (Dense clawflower) is a shrub species in the family Myrtaceae.
12,Andersonville (film), Andersonville is an American television film directed by John Frankenheimer about a group of Union soldiers during the American Civil War who are captured by the Confederates and sent to an infamous Confederate prison camp.The film is loosely based on the diary of John Ransom a Union soldier imprisoned there.
1,University of Ouagadougou, Founded in 1974 the University of Ouagadougou is located in the area of Dawn Van Noord in Ouagadougou Burkina Faso. In 1995 a second campus for professional education known as University Polytechnique of Bobo (UPB) was opened in the city of Bobo Dioulasso and a third campus for teacher training in Koudougou in 1996.
0,Studiopolis, Studiopolis Inc. is an American production company that specializes in voiceover recording and dubbing for cartoon anime and video games located in Studio City California. They were formerly known as Screenmusic Studios and then Studio E Productions up until 2005.
6,The Residences at 2211 Camelback, Built in 2006 by the Patrinely Group the guard gated and exclusive Residences at 2211 Camelback is a prestigious luxury townhouse building.
8,Cheshmeh Sib-e Deli Khomsir, Cheshmeh Sib-e Deli Khomsir (Persian: چشمه سيب دلي خمسير‎ also Romanized as Cheshmeh Sīb-e Delī Khomsīr; also known as Cheshmeh Sīb) is a village in Kabgian Rural District Kabgian District Dana County Kohgiluyeh and Boyer-Ahmad Province Iran. At the 2006 census its population was 64 in 17 families.
12,High Hell, High Hell is a 1958 American film set in the Canadian Rockies.
0,American Health Inc., American Health Inc. is an American company that manufactures dietary supplements. It is headquartered in Ronkonkoma New York.
2,Bong-Ra, Bong-Ra is the performing name of Dutch breakcore musician Jason Kohnen from Utrecht. Formed in 1996 initially producing and DJing jungle music.
11,I Will Be There (EP), I Will Be There is an EP recorded by the British hard rock supergroup Gogmagog. It was their sole release. There were no positive reviews for the tracks and the project was abandoned when the EP failed to chart.The title track was originally written and recorded by Russ Ballard on his 1981 album Into the Fire. The other two tracks were written by British record producer Jonathan King who put the band together for a failed rock opera project .
10,Buchenavia pabstii, Buchenavia pabstii is a species of plant in the Combretaceae family. It is endemic to Brazil.
12,Black Gold (2006 film), Black Gold is a 2006 feature length documentary film. The story follows the efforts of an Ethiopian Coffee Union manager as he travels the world to obtain a better price for his workers' coffee beans.The film is directed and produced by Marc Francis and Nick Francis from Speakit Films and co-produced by Christopher Hird. It premiered at Sundance in 2006.
5,Annie M. Pence, Annie M. Pence was a steamboat that ran on Puget Sound in the early 1890s.
12,Shoot-Out at Medicine Bend, Shoot-Out at Medicine Bend is a 1957 Western film directed by Richard L. Bare and starring Randolph Scott James Garner and Angie Dickinson. This was the final film that Scott made with Warner Bros.
